,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,474441451782740.5,443584121191812.5,496540380251618.9,562113112816916.06,613526221842185.8,650916114555675.8,679932638665272.5,704326840900757.4,725765471063795.4,744837649269940.5,761785722542519.0,776823736124620.8,790243535128337.8,802392110617297.1,813651624995127.6,824383828226422.1,834877478052122.9,845367915099528.6,856010190107633.5,866878780585652.9,877991756276371.1,889330519797726.6,900836012709503.6,912428933344143.9
1,ELPA_SUNN_out,1399331776.1344063,1326174560.531163,1427804032.5311995,1567349575.0312252,1688279502.4823918,1786247370.5817194,1870530615.5369632,1947600143.3832016,2019829642.4206681,2087497974.1904619,2150308528.3833113,2208104245.169413,2261075299.2428164,2309716789.610313,2354696564.0313964,2396720045.891872,2436430256.654815,2474350706.8334665,2510864899.7755017,2546222388.033612,2580560378.701139,2613932603.217238,2646339213.32698,2677752583.0639086
2,ATLA_NASH_in,1784582325.8015594,1655761299.5086641,1803980563.6400437,1996755726.7279892,2140361808.1924732,2236079063.8832235,2304237552.462373,2358582502.1656747,2405235924.1886554,2446311812.4159513,2482525805.143734,2514406908.2805967,2542673724.7190576,2568239629.3487973,2592099614.565277,2615214462.657768,2638428018.129993,2662422560.6948133,2687703625.2637997,2714604486.8089056,2743303939.4035425,2773849897.5880857,2806186091.5324373,2840178490.6347675
3,ATLA_NASH_out,1453806230.2557502,1339843551.0517929,1387893018.940819,1477858183.4025288,1557760750.7884648,1619337756.5496976,1668661352.7408395,1711592475.2624805,1751122929.347733,1788300314.484446,1823320592.639683,1856161541.2346718,1886853975.430179,1915551690.0240004,1942511932.151477,1968048068.7113626,1992483682.4862862,2016119154.641726,2039212591.4937181,2061972418.1586075,2084558165.6925135,2107086705.9516497,2129640081.2012718,2152273143.1164193
4,CHIC_ECHI_in,2789698673.7376647,2638205128.468761,3056455038.6729107,3559163975.1449633,3902665036.9188914,4115662994.639884,4265435145.930913,4390010538.808427,4503121326.346394,4607837460.206924,4704448985.393424,4793479494.734277,4876315869.583017,4954980431.783437,5031734918.9529085,5108753943.769698,5187920287.199193,5270719716.019653,5358207747.193249,5451022486.494343,5549422166.945961,5653340650.047987,5762447226.891126,5876210328.880695
5,CHIC_ECHI_out,2401020791.4106684,2272699974.4076185,2695880067.373016,3196121228.0177255,3544330728.9843845,3769602493.574166,3936991065.8681684,4083829114.66422,4223688286.6526246,4359291289.914859,4490404376.399162,4616999396.18388,4739940226.865102,4860735659.832548,4981105638.256534,5102641151.825556,5226610718.675502,5353886257.430335,5484948431.637026,5619931893.482598,5758689612.391413,5900858686.389601,6045922664.838435,6193265449.307262
6,HOUS_NASH_out,1177175638.5039563,1095471617.3907413,1212345127.0906541,1361460556.6552854,1479029140.6920211,1563421407.5461283,1627072690.7376432,1679043984.5568209,1723729670.8062856,1762901205.8680782,1797317864.7070708,1827535919.6898057,1854197366.5219545,1878060121.6693122,1899928903.1658673,1920569656.1209245,1940642936.667333,1960665362.5093312,1980997730.9717343,2001852637.080951,2023315835.0831103,2045373478.5938237,2067941608.7408483,2090892854.3587182
7,ELPA_HOUS_in,1440773428.2360601,1365536787.9443955,1471029252.9237869,1616330056.0568767,1742437720.5030894,1844424502.5965257,1931852333.7621646,2011505617.982032,2085935374.2527308,2155498236.781183,2219930987.7444916,2279102501.5279765,2333236929.9024286,2382872568.5007305,2428723684.168093,2471539239.5515046,2511997464.7006345,2550646588.8321943,2587883975.112113,2623963330.0907874,2659019219.622605,2693097740.537863,2726189452.2040534,2758256657.039938
8,EASH_ECHI_in,2639461002.7008233,2494099887.4456077,2947443120.8545218,3486604127.594927,3863554485.3273516,4108318180.8079724,4290395135.8656173,4449905684.628513,4601566327.768189,4748440076.164586,4890381181.852381,5027432027.941957,5160570085.910581,5291447838.301504,5421934163.26221,5553750541.020965,5688264680.225668,5826413555.25195,5968709398.665936,6115290122.340153,6265988605.28703,6420405173.409046,6577974027.2538805,6738022962.655364
9,EASH_ECHI_out,2065851527.995967,1947594329.5106661,2246886072.6922956,2610466401.2587566,2860253362.0291348,3015765783.7837987,3125297232.1163793,3216334360.0209966,3298890267.018975,3375279056.5456705,3445786727.9481196,3510846849.446919,3571496166.6912813,3629213407.1526937,3685636351.366496,3742331193.617968,3800646899.5900397,3861643806.130246,3926070753.441608,3994375529.4865594,4066734913.0945687,4143093346.7850757,4223206342.436614,4306685948.608163
10,EASH_WASH_in,2499603417.660704,2355310638.260569,2708830148.1260953,3139564828.588365,3435306207.078169,3618838714.403197,3747583727.1357226,3854344089.891132,3951088026.5602527,4040562350.3970714,4123082850.4030323,4199148372.5166216,4269992573.613189,4337384883.692399,4403287501.642271,4469573850.939715,4537853168.684436,4609384220.775178,4685050005.649312,4765373571.069647,4850553419.221878,4940512500.736313,5034951301.744555,5133401393.682736
11,EASH_WASH_out,2325262808.7641582,2201562065.1741705,2613382939.86257,3098510085.6339498,3434950945.0610147,3652083980.21331,3813383676.971393,3954968567.745428,4089847860.6874566,4220576398.6144795,4346898643.559484,4468779370.437527,4587050286.709097,4703165018.1802225,4818784311.983174,4935450380.320745,5054401390.51089,5176500249.362667,5302235635.774241,5431764660.690726,5564971301.191832,5701528179.95716,5840955047.993644,5982670566.360322
